Kod,Nazwa,Rok,Populacja,Produkcyjny,Bezrobocie,Wynagrodzenia,Mediana,Sprzedaz,Powierzchnia
0201,Powiat bolesławiecki,2013,90306,58101,12.6,3231.49,2650,2.54,26.1
0202,Powiat dzierżoniowski,2013,104613,66669,20.2,3156.11,2118,2.58,23.8
0203,Powiat głogowski,2013,90302,58315,14.9,3320.48,3022,5.05,23.0
0204,Powiat górowski,2013,36391,23166,28.3,3066.83,2089,2.42,24.7
0205,Powiat jaworski,2013,52070,33749,24.3,3040.71,2205,1.63,24.9
0206,Powiat karkonoski,2013,65171,42511,19.8,3128.87,3504,3.31,29.8
0207,Powiat kamiennogórski,2013,45039,28759,20.5,3045.35,1563,1.93,23.6
0208,Powiat kłodzki,2013,164680,105189,27.1,3200.48,2128,2.98,26.2
0209,Powiat legnicki,2013,54869,35695,21.3,3179.49,2035,1.24,26.8
0210,Powiat lubański,2013,56117,36152,21.6,3034.94,1896,2.26,25.4
0211,Powiat lubiński,2013,106512,68155,10.9,6641.4,2973,5.0,24.5
0212,Powiat lwówecki,2013,47317,30865,26.2,3104.47,1698,1.46,26.9
0213,Powiat milicki,2013,37320,23471,18.1,2935.92,2161,1.88,25.3
0214,Powiat oleśnicki,2013,106088,68201,16.0,3254.89,3153,2.68,25.1
0215,Powiat oławski,2013,75793,48616,12.7,3398.13,3255,4.33,25.8
0216,Powiat polkowicki,2013,63240,41046,8.8,4050.14,2426,2.42,23.8
0217,Powiat strzeliński,2013,44393,28629,18.0,3393.16,2292,2.21,26.2
0218,Powiat średzki,2013,52445,34409,13.1,3602.22,2501,2.17,28.1
0219,Powiat świdnicki,2013,160932,103404,13.8,3394.63,2438,3.37,24.8
0220,Powiat trzebnicki,2013,83041,53830,14.4,3166.96,3478,2.83,28.0
0221,Powiat wałbrzyski,2013,57834,37060,29.8,3138.11,1471,3.32,24.9
0222,Powiat wołowski,2013,47569,30974,21.8,3554.83,2652,5.95,25.2
0223,Powiat wrocławski,2013,127896,83360,5.3,3638.25,4017,6.72,36.8
0224,Powiat ząbkowicki,2013,67875,43645,22.4,3201.11,1953,1.8,26.7
0225,Powiat zgorzelecki,2013,93158,60291,14.7,3435.69,1499,0.32,25.3
0226,Powiat złotoryjski,2013,45056,29816,28.6,3574.21,2342,2.2,25.2
0261,Powiat m. Jelenia Góra,2013,81985,51309,9.3,3367.22,2622,6.15,27.4
0262,Powiat m. Legnica,2013,101992,65333,10.3,3188.81,2549,5.13,25.6
0264,Powiat m. Wrocław,2013,632067,401817,5.5,4129.56,5183,16.22,32.5
0265,Powiat m. Wałbrzych od 2013,2013,117926,74748,16.8,3735.14,2060,4.16,23.1
0401,Powiat aleksandrowski,2013,55919,35235,24.2,2913.18,2723,2.2,27.8
0402,Powiat brodnicki,2013,78102,49708,15.7,2989.17,2973,1.91,25.0
0403,Powiat bydgoski,2013,110565,71597,13.8,3233.47,3940,1.08,29.1
0404,Powiat chełmiński,2013,52610,33737,24.7,3095.76,2509,1.16,22.1
0405,Powiat golubsko-dobrzyński,2013,45480,28902,23.6,3179.59,2155,1.19,24.1
0406,Powiat grudziądzki,2013,40135,25614,26.0,3136.5,1557,0.25,24.2
0407,Powiat inowrocławski,2013,163682,105901,23.8,3096.02,2801,3.2,22.3
0408,Powiat lipnowski,2013,67231,42656,28.7,2886.36,1857,0.61,22.3
0409,Powiat mogileński,2013,46590,29794,22.6,2949.32,1856,1.16,23.6
0410,Powiat nakielski,2013,86969,55878,23.6,3080.04,2648,1.45,21.2
0411,Powiat radziejowski,2013,41646,26623,26.1,2858.06,1500,1.08,25.3
0412,Powiat rypiński,2013,44723,28110,21.2,2983.31,1791,1.16,23.3
0413,Powiat sępoleński,2013,41636,26316,25.0,3077.03,1735,1.22,21.8
0414,Powiat świecki,2013,99839,64239,18.2,3343.53,2585,1.64,23.2
0415,Powiat toruński,2013,100972,65257,21.3,2911.23,2484,1.12,25.6
0416,Powiat tucholski,2013,48283,30683,21.9,2882.14,2224,0.68,24.1
0417,Powiat wąbrzeski,2013,35034,22251,22.8,3132.56,2216,1.68,23.2
0418,Powiat włocławski,2013,86920,55548,27.3,2883.38,1517,0.41,25.1
0419,Powiat żniński,2013,70792,45123,23.0,2877.89,2450,1.1,22.3
0461,Powiat m. Bydgoszcz,2013,359428,225507,8.8,3589.06,3794,7.56,23.5
0462,Powiat m. Grudziądz,2013,97676,61460,20.9,3021.42,2451,3.73,22.3
0463,Powiat m. Toruń,2013,203447,130466,10.4,3719.69,4043,3.2,24.7
0464,Powiat m. Włocławek,2013,114885,72564,20.3,3419.98,2674,4.11,22.3
0601,Powiat bialski,2013,113336,69852,15.8,2949.52,2315,0.87,28.4
0602,Powiat biłgorajski,2013,103366,64710,9.4,3088.2,3067,0.47,26.6
0603,Powiat chełmski,2013,79573,50466,20.3,3021.08,1974,0.19,26.8
0604,Powiat hrubieszowski,2013,67157,41809,20.3,3116.46,2244,0.88,26.1
0605,Powiat janowski,2013,47296,29277,15.3,3100.51,2433,0.36,25.9
0606,Powiat krasnostawski,2013,66559,40641,17.0,3128.85,2347,0.68,29.1
0607,Powiat kraśnicki,2013,98749,61187,16.0,2953.64,2398,0.86,25.9
0608,Powiat lubartowski,2013,90065,56132,17.5,2993.79,3372,0.64,27.2
0609,Powiat lubelski,2013,149481,93804,12.9,3029.43,3821,0.72,30.6
0610,Powiat łęczyński,2013,57587,38212,10.3,5138.84,3109,0.94,25.1
0611,Powiat łukowski,2013,109325,67183,12.9,2883.3,3000,0.43,24.8
0612,Powiat opolski,2013,61803,38668,16.0,3020.99,2225,0.68,25.8
0613,Powiat parczewski,2013,36044,22348,15.3,3037.61,2411,0.36,27.9
0614,Powiat puławski,2013,116206,70772,11.7,3785.23,3764,1.78,26.3
