"Kod";"Nazwa";"ogółem;2013;[%]";"ogółem;2014;[%]";"ogółem;2015;[%]";"ogółem;2016;[%]";"ogółem;2017;[%]";"ogółem;2018;[%]";"ogółem;2019;[%]";"ogółem;2020;[%]";"ogółem;2021;[%]";"ogółem;2022;[%]";"ogółem;2023;[%]";
0201000;"Powiat bolesławiecki";12,6;8,9;7,6;5,7;4,2;3,8;3,8;5,6;5,1;3,1;2,8;
0202000;"Powiat dzierżoniowski";20,2;15,8;11,9;10,0;7,4;6,1;5,2;6,8;5,5;5,2;5,6;
0203000;"Powiat głogowski";14,9;13,6;12,5;10,5;9,1;8,9;7,1;7,8;7,7;6,4;6,5;
0204000;"Powiat górowski";28,3;23,4;22,2;18,5;16,5;15,3;14,2;15,7;18,3;13,8;14,2;
0205000;"Powiat jaworski";24,3;18,6;17,3;15,8;13,5;12,4;10,6;11,3;10,8;10,2;9,7;
0206000;"Powiat karkonoski";19,8;15,7;12,9;11,4;9,2;8,9;8,2;10,1;10,5;8,5;8,5;
0207000;"Powiat kamiennogórski";20,5;15,6;11,6;10,3;7,5;6,2;5,8;8,0;6,6;6,1;6,1;
0208000;"Powiat kłodzki";27,1;23,6;19,9;16,0;12,5;11,8;11,1;12,6;12,5;11,8;11,7;
0209000;"Powiat legnicki";21,3;17,4;14,8;13,0;11,5;10,1;8,1;8,7;8,4;8,1;7,3;
0210000;"Powiat lubański";21,6;17,8;14,2;11,3;9,3;7,3;6,9;8,9;8,0;7,1;6,7;
0211000;"Powiat lubiński";10,9;8,9;7,0;5,9;5,0;4,8;4,1;5,0;4,0;3,9;3,8;
0212000;"Powiat lwówecki";26,2;22,4;19,4;16,9;13,0;12,2;11,2;11,5;9,5;8,7;8,7;
0213000;"Powiat milicki";18,1;14,5;12,0;9,8;7,8;6,8;6,4;6,9;5,8;6,3;6,4;
0214000;"Powiat oleśnicki";16,0;12,0;9,8;8,0;6,1;5,4;5,2;6,7;6,0;6,0;5,8;
0215000;"Powiat oławski";12,7;8,7;7,8;7,0;5,6;5,4;4,4;4,9;4,0;4,2;3,9;
0216000;"Powiat polkowicki";8,8;7,8;6,3;5,8;4,7;4,5;4,4;4,8;4,9;4,4;4,3;
0217000;"Powiat strzeliński";18,0;15,1;13,3;12,3;11,0;10,5;9,7;11,2;11,8;10,4;10,4;
0218000;"Powiat średzki";13,1;10,5;8,2;7,3;6,0;5,5;4,8;5,8;5,8;4,7;4,6;
0219000;"Powiat świdnicki";13,8;11,2;9,9;8,6;6,9;6,2;5,6;6,9;5,7;5,6;5,9;
0220000;"Powiat trzebnicki";14,4;10,9;9,0;7,9;6,7;5,8;5,1;5,5;5,1;4,8;5,0;
0221000;"Powiat wałbrzyski";29,8;24,9;22,4;19,3;14,3;13,6;12,8;14,9;13,9;11,7;11,7;
0222000;"Powiat wołowski";21,8;18,3;15,0;14,4;12,1;11,3;10,6;11,7;12,2;11,2;11,2;
0223000;"Powiat wrocławski";5,3;3,9;3,4;2,7;2,0;1,8;1,6;2,0;1,8;1,4;1,4;
0224000;"Powiat ząbkowicki";22,4;19,0;14,9;13,8;11,8;10,9;9,4;10,2;9,7;9,5;10,1;
0225000;"Powiat zgorzelecki";14,7;12,1;9,0;7,7;5,4;5,1;4,9;6,0;5,6;5,1;5,0;
0226000;"Powiat złotoryjski";28,6;24,5;21,2;18,9;16,0;14,8;13,1;14,2;13,8;13,7;13,3;
0261000;"Powiat m. Jelenia Góra";9,3;7,5;5,7;4,6;3,6;3,6;3,2;4,6;3,8;3,6;3,9;
