"Kod";"Nazwa";"ogółem;ogółem;2013;[zł]";"ogółem;ogółem;2014;[zł]";"ogółem;ogółem;2015;[zł]";"ogółem;ogółem;2016;[zł]";"ogółem;ogółem;2017;[zł]";"ogółem;ogółem;2018;[zł]";"ogółem;ogółem;2019;[zł]";"ogółem;ogółem;2020;[zł]";"ogółem;ogółem;2021;[zł]";"ogółem;ogółem;2022;[zł]";"ogółem;ogółem;2023;[zł]";
0201000;"Powiat bolesławiecki";2650;2758;2756;2749;2824;2818;3566;4188;4467;5283;5872;
0202000;"Powiat dzierżoniowski";2118;2121;1861;1918;1923;2248;2114;2244;2621;2934;4381;
0203000;"Powiat głogowski";3022;3154;3107;3195;3276;3550;3506;4043;4515;4592;5000;
0204000;"Powiat górowski";0;998;2113;2829;3090;1678;1809;1724;2127;2373;2500;
0205000;"Powiat jaworski";2205;1923;2331;2067;2270;2625;2852;3309;3868;4220;5734;
0206000;"Powiat karkonoski";3504;2881;3792;2543;2473;3114;3335;3835;4721;10928;7754;
0207000;"Powiat kamiennogórski";1563;1386;1393;1417;1596;1587;1913;2177;2490;2806;3033;
0208000;"Powiat kłodzki";2128;2208;2198;2000;2260;2311;2318;2714;2949;4094;4615;
0209000;"Powiat legnicki";2035;2132;2110;2361;2083;2403;2234;2994;3608;4082;4386;
0210000;"Powiat lubański";1896;2291;1899;2121;2353;2246;2720;2841;3529;4728;4460;
0211000;"Powiat lubiński";2973;2961;2973;3206;3236;3708;3898;4401;4648;5245;5526;
0212000;"Powiat lwówecki";1698;1538;1264;1399;1464;1764;1679;1969;1909;2146;3030;
0213000;"Powiat milicki";2161;2276;2777;2686;2517;2558;2712;3950;4239;5323;5278;
0214000;"Powiat oleśnicki";3153;3516;3121;3240;3605;3767;3825;4612;4683;5596;6716;
0215000;"Powiat oławski";3255;3199;3291;3386;3800;3886;4235;4509;5142;6196;6489;
0216000;"Powiat polkowicki";2426;2744;2560;2635;2752;3098;3343;3326;3774;3826;4353;
0217000;"Powiat strzeliński";2292;2895;3074;2915;2884;3529;3004;3404;3536;4942;5769;
0218000;"Powiat średzki";2501;3068;3639;3948;3931;4260;4500;5018;5347;5423;6094;
0219000;"Powiat świdnicki";2438;2650;2417;2677;2674;2966;3274;3887;4461;4828;5373;
0220000;"Powiat trzebnicki";3478;3500;3600;3615;3914;3871;4068;4499;5243;5973;6681;
0221000;"Powiat wałbrzyski";1471;1448;1416;1356;1425;1371;1604;1695;2047;2614;2675;
0222000;"Powiat wołowski";2652;2326;2790;2719;2695;2807;2893;3775;4077;4503;5209;
0223000;"Powiat wrocławski";4017;4138;4196;4167;4323;4525;4696;5112;5599;6257;7178;
0224000;"Powiat ząbkowicki";1953;1735;1649;1807;1695;1829;1803;2045;2707;3230;2901;
0225000;"Powiat zgorzelecki";1499;1405;1209;2033;2554;2681;3041;3259;3582;4461;4514;
0226000;"Powiat złotoryjski";2342;2076;2146;2298;2349;2451;2209;2770;3333;3752;3793;
0261000;"Powiat m. Jelenia Góra";2622;2583;2530;2532;2624;2918;3478;4121;4752;5276;5750;
0262000;"Powiat m. Legnica";2549;2529;2645;2767;2737;3117;3473;4087;4486;5067;5438;
0264000;"Powiat m. Wrocław";5183;5206;5244;5409;5674;5906;6279;7055;8019;8907;10133;
0265000;"Powiat m. Wałbrzych od 2013";2060;1946;1907;1838;2053;2115;2357;2612;3150;3931;4167;
0401000;"Powiat aleksandrowski";2723;2793;3208;3052;3394;3475;3367;3672;4471;4986;5745;
0402000;"Powiat brodnicki";2973;2942;3008;3001;3298;3465;3723;3861;4224;5178;6026;
0403000;"Powiat bydgoski";3940;3728;3616;3233;3610;3632;3705;4402;4849;5324;5281;
0404000;"Powiat chełmiński";2509;2626;2358;2566;3042;2556;2881;3193;3413;3739;4444;
0405000;"Powiat golubsko-dobrzyński";2155;2591;2439;2237;3093;2508;2977;2955;3521;3938;5234;
0406000;"Powiat grudziądzki";1557;1663;1529;1827;1598;1829;1598;1654;2524;2516;2717;
0407000;"Powiat inowrocławski";2801;2907;2881;2800;3126;3252;3616;4211;4627;4632;4805;
0408000;"Powiat lipnowski";1857;1825;1786;2084;1892;2096;2418;2366;2502;4023;4386;
0409000;"Powiat mogileński";1856;1779;1988;2110;2320;2333;2922;3431;2846;3693;4045;
0410000;"Powiat nakielski";2648;2628;2443;2708;2882;2716;3154;3733;3768;4652;5325;
0411000;"Powiat radziejowski";1500;1609;2010;1882;2212;2281;2302;2020;1884;3110;4130;
0412000;"Powiat rypiński";1791;2188;1908;1669;1798;2676;2980;3249;3399;3939;3922;
0413000;"Powiat sępoleński";1735;1453;1657;1832;1790;2011;2409;2760;2957;3478;3238;
0414000;"Powiat świecki";2585;2083;2657;2836;3004;3089;3341;3961;3716;4632;4865;
0415000;"Powiat toruński";2484;2686;2396;2553;2772;2997;3078;3372;4220;4187;4773;
0416000;"Powiat tucholski";2224;2110;2329;2294;2286;2203;2674;2650;3634;3667;4049;
0417000;"Powiat wąbrzeski";2216;2009;2075;1925;2158;2052;2782;3442;3376;3614;5198;
0418000;"Powiat włocławski";1517;1742;1725;1953;1481;1679;1890;2030;1991;4678;4025;
0419000;"Powiat żniński";2450;2484;2508;2188;2352;3162;2719;3230;3697;3959;3917;
0461000;"Powiat m. Bydgoszcz";3794;3771;3855;4012;4246;4610;5026;5697;6080;6821;7213;
0462000;"Powiat m. Grudziądz";2451;2386;2452;2475;2667;3028;3343;3621;3980;4349;4666;
0463000;"Powiat m. Toruń";4043;3974;3846;4061;4499;4796;5271;6059;6658;7281;7679;
0464000;"Powiat m. Włocławek";2674;2492;2551;2500;2596;2817;3217;3888;4722;5434;5267;
0601000;"Powiat bialski";0;0;2449;2557;2516;2710;3038;3282;3701;4132;4085;
0602000;"Powiat biłgorajski";3067;2970;2957;2799;3145;3389;3449;3637;4143;4674;5911;
