"Kod";"Nazwa";"ogółem;ogółem;2013;[osoba]";"ogółem;ogółem;2014;[osoba]";"ogółem;ogółem;2015;[osoba]";"ogółem;ogółem;2016;[osoba]";"ogółem;ogółem;2017;[osoba]";"ogółem;ogółem;2018;[osoba]";"ogółem;ogółem;2019;[osoba]";"ogółem;ogółem;2020;[osoba]";"ogółem;ogółem;2021;[osoba]";"ogółem;ogółem;2022;[osoba]";"ogółem;ogółem;2023;[osoba]";
0201000;"Powiat bolesławiecki";90306;90346;90199;90180;90173;90200;90103;88524;88275;87922;87642;
0202000;"Powiat dzierżoniowski";104613;104075;103349;102649;102077;101437;100813;97985;96884;95863;94740;
0203000;"Powiat głogowski";90302;90222;90205;89989;89933;89541;89102;86797;86376;85689;85043;
0204000;"Powiat górowski";36391;36236;35940;35715;35473;35182;34870;33376;33027;32738;32459;
0205000;"Powiat jaworski";52070;51796;51451;51176;50947;50545;50116;48626;48029;47584;47213;
0206000;"Powiat karkonoski";65171;64969;64599;64395;64178;63855;63591;61884;61469;61016;60438;
0207000;"Powiat kamiennogórski";45039;44700;44402;44262;43999;43621;43239;41817;41244;40786;40319;
0208000;"Powiat kłodzki";164680;163672;162465;161452;160465;159337;157996;152651;150515;148681;146952;
0209000;"Powiat legnicki";54869;55026;55051;55182;55233;55326;55166;55038;55083;55032;55032;
0210000;"Powiat lubański";56117;55900;55533;55238;54991;54699;54254;52944;52372;51886;51410;
0211000;"Powiat lubiński";106512;106433;106319;106355;106320;106254;106150;104480;103927;103426;102872;
0212000;"Powiat lwówecki";47317;47014;46677;46527;46360;46059;45925;44033;43473;43157;42817;
0213000;"Powiat milicki";37320;37266;37213;37148;37125;37093;36999;36184;36033;35826;35603;
0214000;"Powiat oleśnicki";106088;106311;106486;106794;106907;107062;107269;106650;106409;106481;106516;
0215000;"Powiat oławski";75793;75953;76064;76329;76505;76595;76752;77405;77341;77300;77428;
0216000;"Powiat polkowicki";63240;63201;63057;63081;63017;62982;63065;61610;61309;61308;61189;
0217000;"Powiat strzeliński";44393;44274;44165;44052;44006;43773;43570;42522;42239;41990;41782;
0218000;"Powiat średzki";52445;52725;52837;53181;53722;54269;55079;57409;57978;58508;59078;
0219000;"Powiat świdnicki";160932;160438;159633;158939;158392;157615;156921;153694;152443;151248;150410;
0220000;"Powiat trzebnicki";83041;83358;83699;84063;84495;84886;85253;86869;86980;87287;87635;
0221000;"Powiat wałbrzyski";57834;57492;57023;56788;56446;56004;55611;54085;53534;53115;52656;
0222000;"Powiat wołowski";47569;47439;47194;47137;47124;47056;46818;46352;46044;45728;45458;
0223000;"Powiat wrocławski";127896;130968;134145;137419;141337;146060;151385;174276;178857;182778;187153;
0224000;"Powiat ząbkowicki";67875;67458;66971;66527;66009;65428;64802;62561;61846;61087;60562;
0225000;"Powiat zgorzelecki";93158;92389;91824;91258;90584;90003;89188;87594;86640;85898;85139;
0226000;"Powiat złotoryjski";45056;44867;44598;44381;44126;43869;43490;41740;41277;40929;40616;
0261000;"Powiat m. Jelenia Góra";81985;81408;81010;80524;80072;79480;79061;77538;76570;75794;75124;
0262000;"Powiat m. Legnica";101992;101343;100886;100718;100324;99752;99350;95135;93988;93040;91948;
0264000;"Powiat m. Wrocław";632067;634487;635759;637683;638586;640648;642869;673592;674312;674079;673743;
0265000;"Powiat m. Wałbrzych od 2013";117926;116691;115453;114568;113621;112594;111356;105007;103263;101857;100294;
0401000;"Powiat aleksandrowski";55919;55711;55573;55347;55337;55274;55066;54334;54003;53736;53458;
0402000;"Powiat brodnicki";78102;78397;78431;78630;78879;78898;79097;78397;78173;78057;77791;
0403000;"Powiat bydgoski";110565;111734;112992;114418;115981;117325;118683;122163;123833;125436;126981;
0404000;"Powiat chełmiński";52610;52559;52361;52236;52292;52193;51925;50298;49900;49562;49123;
0405000;"Powiat golubsko-dobrzyński";45480;45441;45342;45250;45289;45140;45018;44175;43784;43547;43278;
0406000;"Powiat grudziądzki";40135;40207;40346;40364;40368;40271;40238;39335;39269;39162;39137;
0407000;"Powiat inowrocławski";163682;163167;162545;162011;161591;160647;159814;154683;153029;151925;150555;
0408000;"Powiat lipnowski";67231;67041;66823;66575;66517;66062;65750;63889;63414;63051;62578;
0409000;"Powiat mogileński";46590;46408;46254;46197;46046;45821;45619;44452;44062;43853;43577;
0410000;"Powiat nakielski";86969;86936;86841;86774;86764;86590;86311;83894;83412;83148;82874;
0411000;"Powiat radziejowski";41646;41510;41373;41169;40898;40714;40321;39082;38633;38173;37812;
0412000;"Powiat rypiński";44723;44652;44384;44219;44029;43826;43486;42089;41686;41404;41185;
0413000;"Powiat sępoleński";41636;41542;41501;41392;41373;41147;41056;39638;39465;39218;38826;
0414000;"Powiat świecki";99839;99852;99764;99661;99505;99281;98952;96507;95914;95359;94831;
0415000;"Powiat toruński";100972;102167;103397;104477;105631;106935;108345;111396;112556;113565;114303;
0416000;"Powiat tucholski";48283;48381;48381;48416;48438;48374;48383;47453;47207;47109;46917;
0417000;"Powiat wąbrzeski";35034;34857;34844;34752;34612;34413;34194;33220;33029;32756;32420;
0418000;"Powiat włocławski";86920;86809;86758;86605;86604;86352;86037;83581;83046;82599;82151;
0419000;"Powiat żniński";70792;70696;70606;70528;70534;70413;70190;68626;68357;67936;67536;
0461000;"Powiat m. Bydgoszcz";359428;357652;355645;353938;352313;350178;348190;339068;334026;330038;326434;
0462000;"Powiat m. Grudziądz";97676;97176;96319;95964;95629;95045;94368;91289;90275;89450;88658;
0463000;"Powiat m. Toruń";203447;203158;202689;202521;202562;202074;201447;198801;197112;195690;194771;
0464000;"Powiat m. Włocławek";114885;113939;113041;112483;111752;110802;109883;105180;103535;102102;100807;
0601000;"Powiat bialski";113336;112901;112507;112398;111922;111391;110772;107031;106194;105530;104849;
0602000;"Powiat biłgorajski";103366;102941;102647;102272;101949;101435;100919;98832;97771;97055;96158;
0603000;"Powiat chełmski";79573;79619;79377;79088;78579;78228;78014;75463;74857;74358;73705;
0604000;"Powiat hrubieszowski";67157;66512;65939;65195;64428;63698;62847;59651;58627;57594;56783;
0605000;"Powiat janowski";47296;47106;46895;46596;46306;46057;45709;44159;43638;43188;42796;
0606000;"Powiat krasnostawski";66559;65991;65422;64921;64432;63925;63258;61228;60269;59754;59041;
0607000;"Powiat kraśnicki";98749;98182;97569;97069;96574;96043;95348;92147;91004;90085;89215;
0608000;"Powiat lubartowski";90065;89749;89502;89326;89040;88789;88352;85950;85146;84578;83975;
0609000;"Powiat lubelski";149481;150359;151178;152253;153380;154387;155566;161433;162129;163209;164469;
0610000;"Powiat łęczyński";57587;57544;57401;57420;57461;57457;57331;56442;56162;55926;55721;
0611000;"Powiat łukowski";109325;108911;108597;108299;107896;107449;106816;102781;102121;101536;100959;
0612000;"Powiat opolski";61803;61542;60964;60586;60266;59726;59208;57375;56726;56163;55650;
0613000;"Powiat parczewski";36044;35810;35628;35441;35140;34954;34711;33491;32934;32608;32223;
0614000;"Powiat puławski";116206;115777;115206;114722;114198;113762;113173;109913;108699;107914;107020;
0615000;"Powiat radzyński";60870;60606;60287;59986;59640;59278;58858;56597;55896;55493;55021;
0616000;"Powiat rycki";58080;57724;57388;57005;56765;56166;55988;53152;52486;52021;51557;
0617000;"Powiat świdnicki";72960;72750;72642;72495;72412;72039;71840;70777;70125;69586;69274;
0618000;"Powiat tomaszowski";86936;86385;85705;85105;84429;83715;82762;79909;78805;77963;77016;
0619000;"Powiat włodawski";39567;39457;39280;39084;38853;38668;38353;36662;36169;35802;35399;
0620000;"Powiat zamojski";109198;108777;108393;107928;107565;106935;106122;103183;102181;101388;100753;
0661000;"Powiat m. Biała Podlaska";57658;57471;57414;57303;57545;57352;57170;55532;55100;54768;54453;
0662000;"Powiat m. Chełm";65481;64855;64270;63734;63333;62670;61932;59711;58805;57933;57214;
0663000;"Powiat m. Lublin";343598;341722;340727;340466;339850;339682;339784;335114;332852;331243;329565;
0664000;"Powiat m. Zamość";65255;65055;64788;64648;64354;63813;63437;60375;59603;58942;58231;
0801000;"Powiat gorzowski";70376;70791;70929;71234;71438;71549;71836;72472;72905;73480;73897;
0802000;"Powiat krośnieński";56627;56235;55943;55759;55512;55245;54829;53918;53460;53105;52717;
0803000;"Powiat międzyrzecki";58697;58640;58496;58397;58249;58024;57565;56213;55678;55357;54839;
0804000;"Powiat nowosolski";87727;87524;87339;87127;86949;86634;86156;83601;83014;82619;82281;
0805000;"Powiat słubicki";47318;47278;47275;47093;47068;47101;46929;46429;46114;45965;45854;
0806000;"Powiat strzelecko-drezdenecki";50418;50212;50061;49842;49701;49366;49009;47891;47436;47002;46658;
0807000;"Powiat sulęciński";35768;35761;35596;35409;35351;35297;35193;34392;34002;33771;33495;
0808000;"Powiat świebodziński";56546;56415;56290;56204;56095;55840;55790;54943;54673;54268;53961;
0809000;"Powiat zielonogórski";94919;94934;75219;75314;75558;75750;75559;75145;74898;74967;75077;
0810000;"Powiat żagański";81803;81462;80997;80633;80114;79583;78953;76022;75194;74390;73604;
0811000;"Powiat żarski";99088;98625;98160;97783;97487;96876;96111;93662;92752;91897;91210;
0812000;"Powiat wschowski";39434;39365;39297;39256;39196;39065;38831;37967;37683;37441;37251;
0861000;"Powiat m. Gorzów Wielkopolski";124344;124145;123762;123995;124295;123921;123609;120526;118011;116436;115247;
0862000;"Powiat m. Zielona Góra";118405;118920;138711;139330;139819;140297;141222;140148;139667;139278;138932;
1001000;"Powiat bełchatowski";113105;113238;112916;113004;113028;112997;112779;110229;109588;109035;108599;
