"Kod";"Nazwa";"w wieku produkcyjnym;ogółem;2013;[osoba]";"w wieku produkcyjnym;ogółem;2014;[osoba]";"w wieku produkcyjnym;ogółem;2015;[osoba]";"w wieku produkcyjnym;ogółem;2016;[osoba]";"w wieku produkcyjnym;ogółem;2017;[osoba]";"w wieku produkcyjnym;ogółem;2018;[osoba]";"w wieku produkcyjnym;ogółem;2019;[osoba]";"w wieku produkcyjnym;ogółem;2020;[osoba]";"w wieku produkcyjnym;ogółem;2021;[osoba]";"w wieku produkcyjnym;ogółem;2022;[osoba]";"w wieku produkcyjnym;ogółem;2023;[osoba]";
0201000;"Powiat bolesławiecki";58101;57614;57119;56465;55786;55216;54676;52714;52260;51621;51095;
0202000;"Powiat dzierżoniowski";66669;65661;64422;63250;62094;60894;59700;56948;55833;54806;53771;
0203000;"Powiat głogowski";58315;57404;56450;55341;54476;53452;52515;50193;49474;48778;48205;
0204000;"Powiat górowski";23166;22895;22578;22340;21955;21605;21237;19825;19457;19149;18938;
0205000;"Powiat jaworski";33749;33263;32791;32258;31729;31002;30338;28643;27985;27512;27107;
0206000;"Powiat karkonoski";42511;41993;41286;40658;39943;39282;38646;36504;35956;35506;34993;
0207000;"Powiat kamiennogórski";28759;28394;28016;27603;27123;26650;26206;24818;24291;23903;23611;
0208000;"Powiat kłodzki";105189;103585;101738;99844;97913;95946;94021;88312;86361;84681;83313;
0209000;"Powiat legnicki";35695;35553;35275;34940;34555;34180;33677;32803;32534;32139;31831;
0210000;"Powiat lubański";36152;35677;35053;34477;33983;33469;32923;31330;30717;30270;29878;
0211000;"Powiat lubiński";68155;67133;66158;65192;64082;63004;62093;60205;59282;58619;58101;
0212000;"Powiat lwówecki";30865;30393;29912;29464;28979;28450;28012;26251;25664;25231;24813;
0213000;"Powiat milicki";23471;23180;22971;22737;22440;22171;21909;20934;20667;20439;20278;
0214000;"Powiat oleśnicki";68201;67812;67347;66769;66137;65414;65014;63611;63050;62816;62437;
0215000;"Powiat oławski";48616;48113;47646;47190;46781;46388;45912;45778;45332;45001;44834;
0216000;"Powiat polkowicki";41046;40812;40425;40212;39827;39404;39098;37286;36873;36625;36302;
0217000;"Powiat strzeliński";28629;28314;28024;27652;27362;26948;26498;25239;24902;24534;24291;
0218000;"Powiat średzki";34409;34349;34236;34201;34172;34173;34286;34921;35005;35040;35245;
0219000;"Powiat świdnicki";103404;102024;100381;98786;97083;95522;93888;90397;88841;87549;86546;
0220000;"Powiat trzebnicki";53830;53706;53389;53020;52702;52304;51994;51952;51594;51539;51448;
0221000;"Powiat wałbrzyski";37060;36607;35967;35479;34918;34260;33674;32037;31482;31036;30632;
0222000;"Powiat wołowski";30974;30572;30193;29764;29380;28955;28526;27596;27214;26875;26535;
0223000;"Powiat wrocławski";83360;84669;86098;87405;88890;90740;93174;106107;108008;109855;112168;
0224000;"Powiat ząbkowicki";43645;42958;42255;41648;40885;40036;39339;36998;36295;35612;34968;
0225000;"Powiat zgorzelecki";60291;59344;58352;57370;56304;55336;54409;52553;51656;50830;50087;
0226000;"Powiat złotoryjski";29816;29440;28956;28480;27894;27337;26659;24858;24325;23948;23529;
0261000;"Powiat m. Jelenia Góra";51309;50087;48983;47876;46811;45726;44849;43788;42740;41929;41216;
0262000;"Powiat m. Legnica";65333;64109;62999;61850;60695;59487;58504;55497;54232;53152;52116;
0264000;"Powiat m. Wrocław";401817;397974;393121;388238;382977;379390;376582;415786;413923;411428;409736;
0265000;"Powiat m. Wałbrzych od 2013";74748;73120;71364;69808;68175;66495;64811;60167;58492;57113;55746;
0401000;"Powiat aleksandrowski";35235;34964;34665;34260;34024;33705;33289;31766;31377;31142;30778;
0402000;"Powiat brodnicki";49708;49676;49518;49297;49081;48738;48374;47148;46584;46165;45717;
0403000;"Powiat bydgoski";71597;72190;72551;73012;73545;73917;74394;74617;75307;76036;76879;
0404000;"Powiat chełmiński";33737;33530;33263;32955;32715;32349;31960;30392;29920;29610;29217;
0405000;"Powiat golubsko-dobrzyński";28902;28851;28656;28483;28334;28069;27758;26523;26179;25929;25653;
0406000;"Powiat grudziądzki";25614;25583;25545;25512;25392;25204;25030;23654;23572;23429;23313;
0407000;"Powiat inowrocławski";105901;104900;103708;102464;101091;99493;97808;92361;90579;89190;87598;
0408000;"Powiat lipnowski";42656;42573;42405;42129;41811;41327;40930;38620;38214;37852;37428;
0409000;"Powiat mogileński";29794;29543;29341;29181;28818;28420;27991;26353;25900;25588;25225;
0410000;"Powiat nakielski";55878;55541;55154;54624;54163;53629;53029;50381;49728;49234;48943;
0411000;"Powiat radziejowski";26623;26445;26296;25975;25669;25325;24812;23297;22834;22441;22076;
