"Kod";"Nazwa";"ogółem;ogółem;2013;[szt.]";"ogółem;ogółem;2014;[szt.]";"ogółem;ogółem;2015;[szt.]";"ogółem;ogółem;2016;[szt.]";"ogółem;ogółem;2017;[szt.]";"ogółem;ogółem;2018;[szt.]";"ogółem;ogółem;2019;[szt.]";"ogółem;ogółem;2020;[szt.]";"ogółem;ogółem;2021;[szt.]";"ogółem;ogółem;2022;[szt.]";"ogółem;ogółem;2023;[szt.]";
0201000;"Powiat bolesławiecki";229;117;310;559;581;589;560;420;609;571;500;
0202000;"Powiat dzierżoniowski";270;234;330;315;325;414;539;549;724;567;514;
0203000;"Powiat głogowski";456;438;391;507;498;578;501;486;760;471;525;
0204000;"Powiat górowski";0;3;13;6;7;31;54;77;90;76;79;
0205000;"Powiat jaworski";85;73;89;119;138;136;126;159;201;180;225;
0206000;"Powiat karkonoski";216;253;333;181;209;215;182;430;492;687;582;
0207000;"Powiat kamiennogórski";87;92;125;116;128;153;161;145;148;155;187;
0208000;"Powiat kłodzki";491;514;493;464;600;710;836;814;958;828;697;
0209000;"Powiat legnicki";68;74;95;104;98;116;101;111;197;195;233;
0210000;"Powiat lubański";127;180;163;185;281;250;294;240;299;469;279;
0211000;"Powiat lubiński";533;525;453;592;645;761;851;810;972;726;937;
0212000;"Powiat lwówecki";69;71;44;74;112;142;151;141;154;93;105;
0213000;"Powiat milicki";70;61;82;114;80;90;94;172;137;165;219;
0214000;"Powiat oleśnicki";284;320;273;372;445;497;504;607;621;472;669;
0215000;"Powiat oławski";328;286;278;347;374;291;231;454;673;674;487;
0216000;"Powiat polkowicki";153;204;205;186;216;203;339;242;339;289;263;
0217000;"Powiat strzeliński";98;69;113;128;124;170;171;137;144;196;155;
0218000;"Powiat średzki";114;67;81;80;130;200;278;263;347;248;394;
0219000;"Powiat świdnicki";543;636;764;851;861;1047;1148;1022;1250;1024;1205;
0220000;"Powiat trzebnicki";235;261;259;289;321;346;287;410;536;474;344;
0221000;"Powiat wałbrzyski";192;213;234;243;315;316;411;386;488;350;368;
0222000;"Powiat wołowski";283;219;216;299;372;381;282;384;356;227;370;
0223000;"Powiat wrocławski";859;1169;901;1104;1142;1352;1832;1894;2402;1541;2143;
0224000;"Powiat ząbkowicki";122;96;101;157;203;181;232;272;340;252;216;
0225000;"Powiat zgorzelecki";30;20;33;102;387;371;455;368;415;418;468;
0226000;"Powiat złotoryjski";99;104;88;119;141;147;167;153;190;177;187;
