"Kod";"Nazwa";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";"ogółem;2019;[zł]";"ogółem;2020;[zł]";"ogółem;2021;[zł]";"ogółem;2022;[zł]";"ogółem;2023;[zł]";
0201000;"Powiat bolesławiecki";3231,49;3422,90;3548,69;3666,19;3901,94;4214,66;4545,34;4887,95;5461,94;6181,60;6871,28;
0202000;"Powiat dzierżoniowski";3156,11;3299,96;3406,18;3562,63;3825,15;4024,94;4484,28;4690,20;5127,97;5723,65;6459,49;
0203000;"Powiat głogowski";3320,48;3460,12;3615,99;3723,59;3918,42;4077,69;4427,98;4763,21;5171,28;5856,76;6660,00;
0204000;"Powiat górowski";3066,83;3142,52;3242,71;3386,93;3484,31;3815,89;3978,78;4432,40;4862,88;5423,11;6060,11;
0205000;"Powiat jaworski";3040,71;3142,45;3323,37;3546,24;3756,46;4029,64;4408,00;4932,98;5554,54;6142,84;7059,41;
0206000;"Powiat karkonoski";3128,87;3232,50;3413,66;3548,55;3760,49;4035,56;4353,43;4526,41;5050,91;5627,61;6287,20;
0207000;"Powiat kamiennogórski";3045,35;3161,57;3269,22;3460,07;3661,88;4013,33;4319,48;4532,19;4885,26;5550,65;6213,96;
0208000;"Powiat kłodzki";3200,48;3333,36;3410,23;3526,67;3741,83;4054,23;4386,83;4747,93;5141,98;5670,31;6527,23;
0209000;"Powiat legnicki";3179,49;3354,83;3403,32;3579,41;3774,63;4185,47;4652,61;4877,07;5452,05;6116,35;6977,28;
0210000;"Powiat lubański";3034,94;3195,72;3313,97;3431,31;3622,21;3939,03;4173,43;4508,29;4980,17;5516,56;6215,31;
0211000;"Powiat lubiński";6641,40;6807,05;6955,85;7170,21;7515,99;7915,01;8274,57;8920,41;10076,64;11361,51;12804,03;
0212000;"Powiat lwówecki";3104,47;3132,07;3323,95;3420,20;3570,16;3950,65;4284,69;4622,42;5049,64;5580,03;6194,99;
0213000;"Powiat milicki";2935,92;3082,62;3221,15;3349,75;3617,72;3734,38;3996,41;4338,67;4848,85;5313,76;6083,81;
0214000;"Powiat oleśnicki";3254,89;3308,51;3456,50;3631,94;3857,75;4128,29;4457,79;4773,90;5113,77;5762,83;6496,00;
0215000;"Powiat oławski";3398,13;3538,01;3738,78;3881,26;4150,54;4415,62;4804,75;4987,74;5467,98;6030,47;6871,32;
0216000;"Powiat polkowicki";4050,14;4292,91;4430,87;4478,18;4794,62;4941,87;5338,08;5606,23;6120,80;6861,21;7764,33;
0217000;"Powiat strzeliński";3393,16;3485,97;3595,32;3725,39;4082,13;4398,08;4774,00;5161,72;5671,21;6320,71;7147,32;
0218000;"Powiat średzki";3602,22;3879,13;3826,72;4029,00;4389,17;4805,68;5069,72;5260,90;5761,88;6315,50;7322,95;
0219000;"Powiat świdnicki";3394,63;3547,60;3736,97;3887,57;4141,32;4427,25;4741,36;5053,92;5469,98;6059,31;6764,59;
0220000;"Powiat trzebnicki";3166,96;3226,50;3323,99;3437,11;3664,48;3955,41;4237,62;4611,02;5235,04;5852,88;6743,32;
