Kod,Nazwa,Atrakcyjnosc_mieszkaniowa
0201,Powiat bolesławiecki,1.27
0202,Powiat dzierżoniowski,1.83
0203,Powiat głogowski,1.19
0204,Powiat górowski,2.05
0205,Powiat jaworski,1.5
0206,Powiat karkonoski,1.09
0207,Powiat kamiennogórski,2.2
0208,Powiat kłodzki,1.63
0209,Powiat legnicki,1.65
0210,Powiat lubański,1.52
0211,Powiat lubiński,2.22
0212,Powiat lwówecki,2.35
0213,Powiat milicki,1.26
0214,Powiat oleśnicki,1.06
0215,Powiat oławski,1.09
0216,Powiat polkowicki,1.68
0217,Powiat strzeliński,1.37
0218,Powiat średzki,1.15
0219,Powiat świdnicki,1.39
0220,Powiat trzebnicki,0.97
0221,Powiat wałbrzyski,2.4
0222,Powiat wołowski,1.63
0223,Powiat wrocławski,1.04
0224,Powiat ząbkowicki,2.0
0225,Powiat zgorzelecki,1.82
0226,Powiat złotoryjski,1.78
0261,Powiat m. Jelenia Góra,1.38
0262,Powiat m. Legnica,1.31
0264,Powiat m. Wrocław,0.86
0265,Powiat m. Wałbrzych od 2013,2.04
0401,Powiat aleksandrowski,1.06
0402,Powiat brodnicki,1.06
0403,Powiat bydgoski,1.07
0404,Powiat chełmiński,1.36
0405,Powiat golubsko-dobrzyński,1.49
0406,Powiat grudziądzki,2.24
0407,Powiat inowrocławski,1.16
0408,Powiat lipnowski,1.56
0409,Powiat mogileński,1.57
0410,Powiat nakielski,1.25
0411,Powiat radziejowski,1.78
0412,Powiat rypiński,1.53
0413,Powiat sępoleński,1.79
0414,Powiat świecki,1.35
0415,Powiat toruński,1.25
0416,Powiat tucholski,1.43
0417,Powiat wąbrzeski,1.57
0418,Powiat włocławski,1.92
0419,Powiat żniński,1.31
0461,Powiat m. Bydgoszcz,0.97
0462,Powiat m. Grudziądz,1.26
0463,Powiat m. Toruń,0.95
0464,Powiat m. Włocławek,1.34
0601,Powiat bialski,1.3
0602,Powiat biłgorajski,1.13
0603,Powiat chełmski,1.77
0604,Powiat hrubieszowski,1.61
0605,Powiat janowski,1.23
0606,Powiat krasnostawski,1.33
0607,Powiat kraśnicki,1.33
0608,Powiat lubartowski,0.96
0609,Powiat lubelski,0.89
0610,Powiat łęczyński,1.68
0611,Powiat łukowski,1.02
0612,Powiat opolski,1.28
0613,Powiat parczewski,1.34
0614,Powiat puławski,1.09
0615,Powiat radzyński,1.24
0616,Powiat rycki,1.27
0617,Powiat świdnicki,1.03
0618,Powiat tomaszowski,1.27
0619,Powiat włodawski,1.5
