Kod,Spadek_bezrobocia,Wzrost_wynagrodzen,Wzrost_mediany_cen,Sprzedane_mieszkania
0201,77.78,112.64,121.58,5045
0202,72.28,104.67,106.85,4781
0203,56.38,100.57,65.45,5611
0204,49.82,97.6,137.42,549
0205,60.08,132.16,160.05,1531
0206,57.07,100.94,121.29,3780
0207,70.24,104.05,94.05,1497
0208,56.83,103.95,116.87,7405
0209,65.73,119.45,115.53,1392
0210,68.98,104.79,135.23,2767
0211,65.14,92.79,85.87,7805
0212,66.79,99.55,78.45,1156
0213,64.64,107.22,144.24,1284
0214,63.75,99.58,113.0,5064
0215,69.29,102.21,99.35,4423
0216,51.14,91.71,79.43,2639
0217,42.22,110.64,151.7,1505
0218,64.89,103.29,143.66,2202
0219,57.25,99.27,120.39,10351
0220,65.28,112.93,92.09,3762
0221,60.74,94.37,81.85,3516
0222,48.62,122.87,96.42,3389
0223,73.58,125.78,78.69,16339
0224,54.91,94.41,48.54,2172
0225,65.99,98.27,201.13,3067
0226,53.5,104.53,61.96,1572
0261,58.06,110.9,119.3,8915
0262,56.31,116.41,113.34,9044
0264,70.91,101.83,95.5,126746
0265,73.81,103.05,102.28,8043
0401,54.96,106.62,110.98,1847
0402,57.32,98.03,102.69,3354
0403,77.54,99.83,34.04,2734
0404,52.23,92.85,77.12,1260
0405,56.78,110.04,142.88,1064
0406,59.62,98.33,74.5,553
0407,55.46,108.3,71.55,7079
0408,54.7,96.04,136.19,676
0409,57.08,116.56,117.94,880
0410,58.47,114.4,101.1,2195
0411,38.7,112.6,175.33,495
0412,57.55,95.92,118.98,806
0413,54.0,91.49,86.63,836
0414,65.38,96.23,88.2,2716
0415,62.44,112.47,92.15,2078
0416,50.68,102.63,82.06,542
0417,46.05,99.5,134.57,695
0418,53.11,105.5,165.33,702
0419,60.43,107.99,59.88,1429
0461,75.0,108.36,90.12,34248
0462,55.98,99.71,90.37,6371
0463,70.19,96.49,89.93,13133
0464,59.61,95.53,96.97,5886
0601,44.94,101.85,50.96,856
0602,35.11,84.39,92.73,1111
0603,39.41,91.77,85.82,288
0604,24.63,100.48,78.61,834
0605,22.88,104.38,150.64,285
0606,17.65,95.97,83.68,344
0607,30.0,101.01,86.57,1138
0608,32.0,96.9,87.54,1047
0609,55.81,93.73,58.36,1692
0610,47.57,102.77,64.97,802
0611,69.77,101.74,93.93,1126
0612,41.87,92.29,108.63,634
0613,47.71,102.16,71.71,458
0614,49.57,81.53,71.07,3452
0615,50.33,96.68,94.08,854
0616,56.13,94.89,111.32,856
0617,55.9,92.09,74.35,2032
0618,39.24,99.87,62.73,787
0619,37.6,95.23,20.36,798
0620,34.57,96.58,49.72,186
0661,57.32,84.87,114.85,2896
0662,54.64,99.41,107.83,3151
0663,58.0,94.81,90.64,40357
0664,52.12,95.86,119.86,3297
0801,74.42,102.54,173.0,2977
0802,74.27,105.29,116.09,2001
0803,69.92,106.0,123.48,2452
0804,78.43,107.95,164.16,3661
0805,83.21,104.13,128.57,3095
0806,64.71,95.74,68.69,1763
0807,71.24,119.59,115.41,1169
0808,81.48,124.7,128.67,3116
0809,56.58,106.77,124.18,2451
0810,79.77,108.59,134.54,3244
0811,69.7,97.92,112.92,4674
